1,Theme,0.0,These tags are for the major and minor [url=http://en.wikipedia.org/wiki/Theme_%28literature%29]themes[/url] or the elements of a game's story that presents themselves in a noticeable way.      These are what you can call the game is about if they are the major themes of a story. Or maybe the small things you notice in that story that still stand out and add to it in a way.
2,Fantasy,268.4966666666661,This game features elements and themes from the [url=http://en.wikipedia.org/wiki/Fantasy]fantasy[/url] genre.
3,ESP,19.633333333333336,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Extrasensory_perception]extrasensory perception[/url] concept.
4,Magic,114.2566666666668,This game features elements and themes related to the paranormal concept of [url=http://en.wikipedia.org/wiki/Magic_%28paranormal%29]magic[/url].      Do not use for games that have magic as a form of illusionary tricks which has no paranormal qualities.
5,Vampire,28.490000000000006,This game features elements and themes related to the  [url=http://en.wikipedia.org/wiki/Vampire]vampire[/url] lore.
6,Superpowers,25.61666666666667,This game features elements and themes related to characters with [url=http://en.wikipedia.org/wiki/Superpower_%28ability%29]superpowered[/url] abilities.
7,Horror,56.41999999999997,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Horror_fiction]horror[/url] genre.
8,Fear of Death,1.5999999999999999,This game features characters who are mostly in a state of [url=http://en.wikipedia.org/wiki/Fear_of_death]fear of death[/url]. This may have justifiable reasons based on the story or may just be related to the mental illness called necrophobia.
9,Identity Crisis,6.666666666666667,This game features characters who are suffering from a case of [url=http://en.wikipedia.org/wiki/Identity_crisis_%28psychology%29]identity crisis[/url].
10,Terrorized by Monsters,5.276666666666667,This game features characters who are being terrorized by [url=http://en.wikipedia.org/wiki/Monster]monsters[/url].
11,,0.0,
12,Action,20.943333333333335,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Action_(fiction)]action[/url] genre.
13,Combat,0.0,This game features scenes of [url=http://en.wikipedia.org/wiki/Combat]combat[/url].
14,Mecha Combat,1.6666666666666665,This game features scenes of [url=http://en.wikipedia.org/wiki/Combat]combat[/url] with [url=http://en.wikipedia.org/wiki/Mecha]mecha[/url].
15,,0.0,
16,,0.0,
17,,0.0,
18,,0.0,
19,Mystery,102.28333333333346,This game features elements and themes related to the [url=http://en.wikipedia.org/wiki/Mystery_fiction]mystery[/url] genre.      A mystery is a story whose plot involves a crime or other event that remains puzzlingly unsettled until the very end.
20,Character,0.0,These tags represent all kinds of details about a game's [url=http://en.wikipedia.org/wiki/Character_%28arts%29]characters[/url] that stand out.
21,Other Gameplay Elements,0.0,These are the tags about [url=http://en.wikipedia.org/wiki/Gameplay]gameplay[/url] elements not found in traditional VNs.
22,Setting,0.0,"A game's setting includes the time, location, and everything in which it's story takes place, and initiates the main backdrop and mood for that story.      [Edited from [url=http://en.wikipedia.org/wiki/Setting_%28fiction%29]Wikipedia[/url].]"
23,Sexual Content,173.17666666666642,This tag can be used for the games that has [url=http://en.wikipedia.org/wiki/Sexual_content]erotic content[/url]. It is recommended to use its child-tags to provide further details instead when applicable.
24,Plot,0.0,"[url=http://en.wikipedia.org/wiki/Plot_%28narrative%29]Plot[/url] tags are the ones about 'how' the game's story is told. What type of a story it is, what kinds of routes and endings it includes, what known methods are used etc."
25,Personal Armed Combat,4.5,"These games contain scenes of [url=http://en.wikipedia.org/wiki/Combat]combat[/url] with (hand-held) weapons, like swords, firearms and the like.   Combat with Mecha and other vehicles has a different tag."
26,Routes,0.0,"These tags are for details on the story's routes, if it has any.      For details on the role of routes in visual novels, you can check the related [url=https://en.wikipedia.org/wiki/Visual_novel#Structure]Wikipedia[/url] article."
27,Ending,0.0,"This metatag is to house other tags about the mechanics of games ending.      Tags about the content of an ending are not allowed, ex. Happy Ending.      You can the related [url=http://en.wikipedia.org/wiki/Types_of_fiction_with_multiple_endings]Wikipedia[/url] article for details."
28,Organizations,0.0,The subtags of this metatag are for games in which certain [url=http://en.wikipedia.org/wiki/Organizations]organizations[/url] play an important role - usually because the protagonist and/or his friends/love interests are members of said organizations or are affiliated with them.
29,Universe,0.0,This metatag covers the tags that detail the universe the games take place. They may be set somewhere in the [url=http://en.wikipedia.org/wiki/Known_universe]known universe[/url] or a [url=http://en.wikipedia.org/wiki/Fictional_universe]fictional universe[/url].
30,Time Period,0.0,These are the tags that define the [url=http://en.wikipedia.org/wiki/Time_period]time period[/url] VN's stories are set in.
31,Action Game,0.0,"This tag indicates that the game includes gameplay sequences challenging the player's speed, dexterity and reaction time.      Check the related [url=http://en.wikipedia.org/wiki/Action_Game]Wikipedia[/url] entry for details."
32,ADV,2237.503333333379,"In these games, the box with the text occupies only part of the screen, usually at the bottom. This is by far the most common text presentation method.      If the textbox is not in the same position every time, use the [url=http://vndb.org/g398]Floating Textbox[/url] tag instead of this one.      If a game uses both [url=http://vndb.org/g43]full-screen[/url] and part-screen textboxes, apply both tags to it.      [url=http://s.vndb.org/sf/01/6101.jpg]Example 1[/url]   [url=http://s.vndb.org/sf/04/1304.jpg]Example 2[/url]"
33,Strategy Game,0.0,A [url=http://en.wikipedia.org/wiki/Strategy_game]strategy game[/url] is a type of game that challenges the player to think critically in order to achieve victory.      This VN features gameplay sequences from this genre.
34,Simulation Game,61.573333333333295,"A [url=http://en.wikipedia.org/wiki/Simulation_video_game]simulation game[/url] attempts to recreate aspects of reality and puts the player in control.      This VN features gameplay sequences from this genre.      Similar to RPG games, simulation games (SLG) usually have stats representing certain values of your character. And to achieve certain goals you try to build up certain stats. On RPG's most of these stats are combat related, while on SLG's they are mostly aspects of our daily lives.      If all the stats are related to dating and attractiveness to hero(in)es, you're looking at a [url=/g39]Dating Simulation[/url] instead. If the stats do not belong to the protagonist but to a separate character, you're most likely looking at a [url=/g40]Raising Simulation[/url]."
35,RPG,39.916666666666664,An [url=http://en.wikipedia.org/wiki/Role-playing_video_game]RPG[/url] is a game in which you assume the role of a character introduced to a vast world to be explored. Games typically place emphasis on gaining equipment and experience points through fighting enemies in order to advance through different levels.      This VN features gameplay sequences from this genre.
36,Combat with Firearms,5.333333333333333,"These games have battles that are resolved by using (personal) [url=http://en.wikipedia.org/wiki/Firearms]firearms[/url] - whether pistols, flintlocks or modern assault rifles. Normally crew-served weapons also count as personal weapons if used by a single person (so if someone is dual wielding [url=http://en.wikipedia.org/wiki/M1918_Browning_Automatic_Rifle]BARs[/url]... go ahead)"
37,Fighting Game,1.3333333333333333,This game is either a full [url=http://en.wikipedia.org/wiki/Fighting_game]fighting game[/url] or has has a fighting game as a minigame.
38,Shooter Game,2.2333333333333334,A [url=http://en.wikipedia.org/wiki/Shooting_game]shooter game[/url] is a type of game that challenges the player's speed and reaction time to succeed. This is mostly done by player directing an avatar and shooting at objects in the game.      This VN features gameplay sequences from this genre.
39,Dating Simulation,66.72999999999995,"A [url=http://en.wikipedia.org/wiki/Dating_sim]dating sim[/url] is a type of simulation with romance focus.      This VN features gameplay sequences from this genre.      In general, the simulation aspect means that you're setting schedules for the protagonist, who may have stats such as Appearance, Fitness, Studying, etc., and these stats affect which heroes / heroines you have a chance with.      While VN's with dating sim elements are allowed in the database, dating sims with brief VN elements are not.      [b]Do not use this tag if none of the stats involve a romantic/dating element; use [url=/g34]Simulation Game[/url] instead[/b]."
40,Raising Simulation,29.259999999999998,"A [url=http://en.wikipedia.org/wiki/Raising_sim]raising sim[/url] is a type of simulation where the protagonist trains or rears one or more other characters to achieve a certain goal(s), from passing an exam to becoming a princess...      It is common that the character(s) raised are given numerical stats such as Appearance, Fitness, Studying that represent their progress. The player in a game of this kind is responsible for setting their schedule.      This VN features gameplay sequences from this genre.      While VN's with raising sim elements are allowed in the database, raising sims with brief VN elements are not."
41,Turn Based Strategy Game,1.3333333333333333,This game has some elements from the [url=http://en.wikipedia.org/wiki/Turn_Based_Strategy]turn based strategy[/url] games genre.
42,Real Time Strategy Game,1.0,This game has some elements from the [url=http://en.wikipedia.org/wiki/Real_Time_Strategy]real time strategy[/url] games genre.
43,NVL,56.05666666666665,"In these games, the box with the text occupies all or most of the screen. The box may have a border, like in [url=http://s.vndb.org/sf/08/808.jpg]Fate/stay night[/url], or no border, like in [url=http://s.vndb.org/sf/35/3135.jpg]Kira☆Kira[/url].      Many games use a full-screen textbox to display backlog text, and a part-screen textbox to display the current text. That does NOT count for this tag.      If a game uses both full-screen and [url=http://vndb.org/g32]part-screen textboxes[/url], apply both tags to it."
44,Pistol Combat,9.066666666666666,Pistols. Handguns. These games use them.
45,Corporations,4.166666666666666,A [url=http://en.wikipedia.org/wiki/Corporation]corporation[/url] plays an important part in the story.
46,Military,12.499999999999998,"A military (or to some degree, paramilitary) organisation plays important role in the visual novel.      This might be the normal military of a country, Special Forces, a PMC or something outlandish like the Teikoku Gekidan or the Galaxy Angels."
47,School,37.34666666666666,Use this tag only if you can not identify what kind of a school that the game uses. Otherwise use of the child tags under this one.
48,High School,194.38333333333307,Some part of the game takes place in a [url=http://en.wikipedia.org/wiki/High_school]high school[/url].
49,University,19.286666666666665,Some part of the game takes place in a [url=http://en.wikipedia.org/wiki/University]university[/url].
50,Shinobi,9.483333333333336,[url=http://en.wikipedia.org/wiki/Ninja]Ninja[/url] clans or similar organizations of shinobi are important parts of this story.
51,Rifle Combat,1.0,Games with fights that involve the use of non-automatic rifles.      (Full) Automatic weapons have a different tag.
52,Earth,0.0,"The game takes place on our own planet. Most continents, countries and cities featured are portrayed as they are or have been on [url=http://en.wikipedia.org/wiki/Earth]Earth[/url]. Stories set in ficticious cities based on real cities in recognised countries take place on Earth."
53,Space,7.166666666666668,"The game takes place in the vacuum of space between celestial bodies or on planets (moons, asteroids...) besides Terra. For example, this category can be used to define games where the characters may inhabit spaceships that journey across the universe."
54,Mythical Setting,1.6666666666666665,"These tags are for games that feature scenes passing on locations taken directly from these myths (or locations inspired by those), not the games that has elements from these myths."
55,Cthulhu Mythos,0.89,[url=http://en.wikipedia.org/wiki/Cthulhu_Mythos]Cthulhu Mythos[/url] strongly influences the setting and events in this VN.
56,British Mythology,2.8333333333333335,[url=http://en.wikipedia.org/wiki/Matter_of_Britain]British mythology[/url] strongly influences the setting and events in this VN.
57,Norse Mythology,4.723333333333333,[url=http://en.wikipedia.org/wiki/Nordic_mythology]Norse mythology[/url] strongly influences the setting and events in this VN.
58,Greek Mythology,12.003333333333332,[url=http://en.wikipedia.org/wiki/Greek_mythology]Greek mythology[/url] strongly influences the setting and events in this VN.
59,Combat with Automatic Firearms,1.0,"If SMGs, assault rifles and machine guns are the solution to the problem, then the game deserves this tag."
60,Modern Day Earth,28.403333333333347,"The visual novel is set on modern day [url=http://en.wikipedia.org/wiki/Earth]Earth[/url].   Note: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
61,Middle Ages Earth,1.9433333333333334,
62,Future Earth,3.083333333333333,This visual novel is set on a fictional rendition of future [url=http://en.wikipedia.org/wiki/Earth]Earth[/url].
63,Combat with Bladed Weapons,9.043333333333335,"Knives, swords, Naginata... if battles in the game are resolved with such implements, it should be tagged with this (or one of the more specific children).   Lightsabers and the like count as bladed weapons(as long they still cut/pierce)."
64,Yamato Nadeshiko Heroine,0.0,"At least one of the heroines  is a [url=http://en.wikipedia.org/wiki/Yamato_Nadeshiko]Yamato Nadeshiko[/url].      Yamato Nadeshiko is a Japanese term meaning the ""personification of an idealized Japanese woman"", or ""the epitome of pure, feminine beauty""."
65,Fighting Heroine,5.276666666666667,"At least one of the heroines of these games is a [url=http://en.wikipedia.org/wiki/Warrior]warrior[/url]. She may be a professional soldier, a self-trained martial artist, a miko with a powerful charms and a sword or maybe a fantasy being. But she can definitely handle herself in a fight.      A game doesn't need to have scenes of the heroine actually fighting to have this tag. This is more about the characters demeanor than the action scenes."
66,Sword Combat,44.016666666666644,"These games have battles with swords - whether with European longswords, nihontou or fantasy BFS matters not."
67,Onna Bugeisha Heroine,0.0,"Onna Bugeisha - Female Weaponmaster   A heroine archetype - usually wielding a Nihontou or Naginata (in a few cases a bow), the use of which she has trained with since she was a child (in a style or another).   Might carry her weapon with her all the time, and have a certain mission (guarda certain holy place, vanquish demons, protect a specific person...).   They almost always have a strong sense of honour and justice.    More often than not will have long, black hair and use dated words."
68,Post Apocalyptic Earth,7.010000000000001,"A considerable part of this game is set on a [url=http://en.wikipedia.org/wiki/Apocalyptic_and_post-apocalyptic_fiction]post apocalyptic setting[/url], if not all."
